Rótulos de Linha;Contagem de primaryLanguage;percentagem
JavaScript;302;34,16%
Python;94;10,63%
Java;71;8,03%
Go;59;6,67%
TypeScript;48;5,43%
C++;45;5,09%
CSS;25;2,83%
Swift;23;2,60%
C;23;2,60%
Shell;22;2,49%
HTML;22;2,49%
PHP;19;2,15%
Ruby;17;1,92%
Jupyter Notebook;12;1,36%
Objective-C;12;1,36%
Kotlin;11;1,24%
Vim script;10;1,13%
Vue;10;1,13%
Rust;9;1,02%
C#;8;0,90%
TeX;4;0,45%
Lua;4;0,45%
CoffeeScript;4;0,45%
Dart;3;0,34%
Haskell;3;0,34%
Objective-C++;3;0,34%
Scala;2;0,23%
Clojure;2;0,23%
Assembly;2;0,23%
Makefile;2;0,23%
Elixir;2;0,23%
Crystal;1;0,11%
Emacs Lisp;1;0,11%
Rascal;1;0,11%
Julia;1;0,11%
Dockerfile;1;0,11%
OCaml;1;0,11%
V;1;0,11%
Batchfile;1;0,11%
Rich Text Format;1;0,11%
Standard ML;1;0,11%
Perl;1;0,11%
Total Geral;884;100,00%
